Date,Headline,Stock Name
Date,Headline,Stock Name
2020-10-25,"Apple, Google and a Deal That Controls the Internet",GOOGL
2020-10-27,"Weekly News Quiz for Students: Google Lawsuit, Supreme Court, Found Painting ",GOOGL
2020-10-28,"Facebook, Google and Twitter C.E.O.s return to Washington to defend their content moderation.",GOOGL
2020-10-30,Amazon and Google’s True Advantage,GOOGL
2020-12-03,Federal Labor Agency Says Google Wrongly Fired 2 Employees Google Researcher Says She Was Fired Over Paper Highlighting Bias in A.I.,GOOGL
2020-12-09,Google Chief Apologizes for A.I. Researcher’s Dismissal,GOOGL
2020-12-14,"Google Delays Return to Office and Eyes ‘Flexible Work Week’ Google Dominates Thanks to an Unrivaled View of the Web Google’s apps crash in a worldwide outage. Vaccines, Electoral College, Google: Your Monday Evening Briefing",GOOGL
2020-12-16,10 States Accuse Google of Abusing Monopoly in Online Ads,GOOGL
2020-12-17,"After a yearlong review, Europe approves Google’s FitBit acquisition. Microsoft’s Lessons for Google Google’s Legal Peril Grows in Face of Third Antitrust Suit",GOOGL
2020-12-21,Google Denies Antitrust Claims in Early Response to U.S. Lawsuit,GOOGL
2021-01-04,"Hundreds of Google Employees Unionize, Culminating Years of Activism We Built Google. This Is Not the Company We Want to Work For.",GOOGL
2021-01-09,"Parler Pitched Itself as Twitter Without Rules. Not Anymore, Apple and Google Said.",GOOGL
2021-01-10,"Amazon, Apple and Google Cut Off Parler, an App That Drew Trump Supporters Apple, Google and Amazon kick Parler off their platforms",GOOGL
2021-01-13,Google bans political ads until the inauguration.,GOOGL
2021-01-17,Behind a Secret Deal Between Google and Facebook,GOOGL
2021-01-19,Behind the Google-Facebook deal that is the focus of an antitrust suit.,GOOGL
2021-01-22,Google-Linked Balloon Project to Provide Cell Service Will Close An Australia With No Google? The Bitter Fight Behind a Drastic Threat,GOOGL
2021-01-25,Google to lend its facilities for use as vaccine clinics.,GOOGL
2021-01-29,My Attempt to Prepare for a Future Without Google,GOOGL
